Time,M_base,M_50,M_100,M_150,M_200,Y_base,Y_50,Y_100,Y_150,Y_200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,7.0339831325059095,6.110039046543534,7.68241927064355,8.016284042289499,8.391102399194097,7.713175428965769,6.073801426951377,7.967779851295745,7.971113455451359,8.66419760162671
10.0,12.171058616940172,11.05294717471952,14.563219221641702,15.053838588107283,15.976121588265414,12.253378575332135,11.112870802739508,14.683292839364185,14.945419456485524,16.254822109910947
15.0,19.338365011957194,18.443576089480757,24.103864957111455,25.332479333399988,25.80328466074843,19.402663265726915,18.598072159390085,24.37234872383715,25.400807716071995,26.097500248527922
20.0,26.5901731532158,26.959506453990343,34.31899028709813,37.057969841462636,37.9655499552382,26.669150969354632,26.849675685718466,34.51616702118463,37.07576691675695,38.18850300799977
25.0,31.138272810982016,32.59967970714524,51.72162018767085,58.569684475795384,60.770309485460984,31.092123593414726,32.50049659090473,51.78323057937587,58.57413230222937,60.72388141593683
30.0,30.47046205270499,32.16825593358362,51.20242021638387,60.543306551231126,65.92665294475091,30.813370384958034,32.00173789880182,51.52718012339528,60.27037428652193,65.61576131886113
35.0,33.428404735044296,32.69370860734671,50.33108478440727,59.59647658615404,65.4875797804907,33.63485075464723,32.68831752742244,50.257288922392036,59.70317522151299,65.37907065651734
40.0,38.706267041829506,38.3072560257915,56.853593780854226,67.1633326233482,73.80630109094182,39.07925363198092,37.689409661422815,56.7389699303144,66.80886612100903,73.81362770122041
45.0,58.78539376518302,55.42327994822881,67.1279105801741,76.33313303098885,83.35172151278948,59.71534396353036,54.91850758993087,66.8636118246618,76.10815178962457,83.1934680872555
50.0,74.07131221779537,68.98791507514125,83.22893147494551,91.81795776460422,99.39649442121254,74.58249529648856,67.61702386190836,82.14120722120106,90.67571092447406,98.26257004668787
55.0,85.64105426073365,76.53194376926831,95.78946185551831,105.88279107312792,114.64900526492238,85.84597467679123,74.80593525676977,94.57408345887325,105.02727367391617,113.413172378333
60.0,107.64501045531824,85.53168419825761,116.74516393890326,129.08665442124766,138.84113371792046,108.59138888746565,85.35754216611258,116.09259745782128,128.15363031132893,138.42911257403875
65.0,129.6998893684281,85.62560086323265,138.271401674157,154.06942564545307,163.66731915517357,131.40330692705538,86.55161762043326,139.38438854438755,155.5302353740958,165.110373038744
70.0,142.08642796563754,78.15091181816524,147.2057023661,171.96626171495927,183.36371390086742,143.96539265905767,79.19792299456276,148.59373932626386,173.25337506936376,184.959036083696
75.0,145.3839290932956,69.51878971873566,148.18467510110986,183.81762524938767,199.88717329268547,147.55751850754086,70.38575402209608,149.56438038374654,185.2268311147841,201.23981437265684
80.0,151.9055230035051,70.31284794343082,161.67095638620958,210.70396791452458,234.4869841100517,154.00038696744014,71.3498909641753,163.66476910080928,212.82092235679784,236.71730191777215
85.0,153.95566902345126,67.80564388174844,163.4568411898831,222.63104305296793,255.0082071824936,155.18851946932227,68.18122325025388,164.7180158764313,224.1043961479054,256.1978590580975
90.0,161.74061818462405,70.38156613850197,167.55713509551833,229.11129081069384,264.2272507296407,162.21842905654648,70.5981266648314,168.45086432539983,230.91897833087614,265.92555728451043
95.0,173.20817356128464,74.63550892823923,175.39364402698857,238.2280841259858,275.50387069057297,173.8957406859863,75.13117630675151,176.66125692897322,240.07906822033328,278.71736058354736
100.0,189.86943816898747,81.05127319091025,191.90032486921336,258.07727461424656,301.96339157299553,190.14316846154088,82.02270850044351,193.3835566418129,260.36941203342803,304.74488119875286
105.0,195.75850818216895,75.18506672238891,197.4175005826287,271.540238015426,319.0538194865301,195.52960162211912,75.59911963119475,198.10440172831613,273.4111744380325,321.9654805237649
110.0,198.88424850193314,67.05049256952088,197.43293320644625,278.90619252368106,331.75048776852736,198.87834191142383,67.79962784963027,198.24455913111888,280.1976943687,334.0487937765822
115.0,203.07222717827153,56.391126875074406,192.77479506305826,278.0937401760575,332.6203082741731,203.0069856941318,57.61189877802735,193.5348144286886,279.2222991637923,334.58654237822066
120.0,205.59186091946913,38.01283262429979,187.4186999712042,276.4668179359551,333.2338283736883,206.70479658162094,40.05710856613905,189.5006625827191,278.72961735136596,335.9157820715884
125.0,180.26197505183245,26.925644239444864,176.73364880958206,270.05471366738266,328.512071469828,182.0713211465977,29.583125062838008,179.49952888324924,272.6900903461765,331.1895151475471
130.0,144.44830732100445,15.297370809665154,163.63289056316626,259.40524890728284,319.1674757461219,145.19046822801874,17.476373516587955,166.07837928304116,262.1131084846843,322.1365958581175
135.0,116.75241491557063,9.269501216972003,157.64538343282857,255.1522089538148,316.74158718244325,119.25356196419852,11.485812101745978,160.74878942923715,258.21483462110155,319.9778839537132
140.0,93.29588255705767,1.0418062242451924,151.14034793472092,250.85173258406348,316.4290868340445,97.15942179170452,3.184897704393734,153.95040622374108,253.60389911737002,319.34254416519707
145.0,79.88578693082718,-5.679259670857391,145.01044960100444,245.5881754344009,312.63308772498794,81.4982315124098,-5.4213178171035,145.30987024618162,245.675297883653,312.90290930984065
150.0,61.92679780165827,-12.167705540869065,140.21913945708957,241.90151473240985,310.8090334951753,60.367601972949615,-13.73239509113182,138.9055320727898,240.83142638347454,310.26152145586957
155.0,37.92831289156129,-18.482490179223532,131.11088411120318,231.47233855290506,300.19596308286236,35.080459727896596,-22.87485550268775,125.65588898055012,225.8502264068793,294.6597559321067
160.0,32.73164494443472,-23.47359015648999,124.1583916376353,223.6988280222563,291.42647180264703,29.507654084582555,-26.945817567258473,119.29889515188597,218.27806932411022,285.95706852401736
165.0,35.353801106550236,-21.818185020641977,126.0841657549031,225.4960471542504,292.9427827017189,32.44182505386925,-24.811269014843674,121.55768159805302,220.23470687203235,287.6306574717314
170.0,31.880640440379466,-25.21843760051206,123.56221859645348,223.74871647341843,291.21071647219424,28.85369031756227,-27.78488952806083,119.3823547876359,218.8357481330122,286.4343407173192
175.0,23.97306886520073,-30.708165930141604,119.03557689722675,220.18072960989002,288.0337984316052,20.915145306608338,-32.89025004321138,114.7603483303269,215.21390800939753,283.14078178671843
180.0,14.9289441638889,-37.62009671121723,112.25888208689548,214.0994426798029,281.9239012437788,11.648672416586123,-39.73616956187607,107.52975752564726,208.80926675061346,276.51402034209195
185.0,15.201284907726858,-38.51607133187463,112.17013336515083,214.35431800857987,282.1201681895368,13.786969268669964,-34.54888125350408,114.02995789833858,215.32527409788463,282.7942105418797
190.0,17.088232944392985,-38.22618591897435,112.4836073761503,215.21309139903224,282.944704448385,18.7739460742996,-27.580260812611414,122.32613494424913,223.95432366605337,291.68167845050357
195.0,18.69918291183467,-37.96535179167404,111.97275858985313,213.9465807857964,282.0857941024824,25.993126125394156,-20.214766498183508,130.2004783531438,231.27620295723455,299.64933162553916
200.0,21.047781395655875,-37.93993901062686,110.38306129399507,211.8917735375685,280.7889748415969,35.396413178827515,-12.376130152451424,138.66720259417343,238.60215073754944,307.8132171471402
205.0,23.31489013836017,-38.55504907745399,107.35482457065746,207.60639728905971,276.59412044395685,35.483147700063455,-15.236753653970027,132.82634658583856,231.6778180967035,300.65656923208235
210.0,26.91434406801409,-38.48733758879325,104.71081359030222,203.48859866228713,272.3015786705755,36.50528132608133,-17.50702982101984,128.04130229539396,225.15705361884193,293.24792075335836
215.0,30.682289882132864,-37.702444409478176,101.27504021171762,197.74646019023567,265.50848027237726,37.67080246203477,-19.573119334057992,122.78419140548158,217.78245400795186,284.6837146279222
220.0,36.71754373061685,-35.20339247419224,98.39699149501484,192.2190499783669,259.49599169776957,51.54740898200771,-20.476518965313517,118.22837599593504,211.9257427516768,277.3938823970425
225.0,57.68696218308878,-32.84213879944491,96.41708109787714,186.68837077774833,251.29218439132046,56.30130375996987,-20.05032712033062,115.65630896247467,206.50585800022873,270.5947931267938
230.0,68.35905179259998,-29.041196239199962,96.07871763209505,183.20675161280815,245.4231677762441,62.792768196302404,-19.721084873983727,112.29642338362692,200.3519605068227,261.7069079089151
235.0,74.32431494076536,-27.09313711278037,96.09672598586758,183.18537540403622,243.47269988321978,59.17150086702668,-25.34531393303041,106.22501980384595,194.1337476867102,254.7251147995703
240.0,87.42386900913289,-20.887494620615144,100.95589790455188,190.05729935593808,251.0275739066924,61.70902510515316,-31.163200695440537,102.80754881217217,192.8079249379125,254.0012210376326
245.0,104.38139273859315,-15.039968652744392,105.95419645177799,194.36272390008207,255.08711983886042,58.94308995081701,-40.882829188017695,95.21359745564496,188.35079139832123,250.80277125667862
250.0,125.94070069771533,-7.146098501868437,115.60204719713192,203.50872472224137,263.1357107544568,65.11943491457805,-44.48944804967368,94.52905672479937,191.03865147661418,256.0862683421092
255.0,110.31400404633041,-10.779653485184099,106.0874499177653,189.76492780670333,247.56508032785223,56.87490925057136,-42.38834719192073,93.31452464604399,187.92129389205866,251.28917255648093
260.0,95.87544371797276,-19.574321455419067,90.30939335867788,167.9171576848089,220.22761200890272,51.55221058790448,-36.3052603388187,96.13612971464545,187.9464372507955,251.13626486947987
265.0,95.5942715350916,-18.412302619942693,85.68133022321945,161.32076409342108,211.09893637342338,56.46348094445102,-26.92594347229806,103.18390989426325,190.53726104877205,252.75138732009918
270.0,94.0992350824531,-18.25371207800754,78.55334883014575,148.83557315642884,193.74982801325177,55.736658401780915,-20.500161034196935,104.27277056406774,186.4987090019349,241.87012737779241
275.0,95.54402713207355,-17.7794119783498,71.92187365519703,141.83857089216053,184.26107980622055,58.47280921882066,-20.641959986426173,102.17590669707852,182.54040285439214,239.15014616544795
280.0,105.7696804248385,-11.322547087711428,73.67664071862191,143.61872205699456,184.66666899097163,68.91163720074246,-14.996436328806794,107.95827593330523,188.65450396210827,245.41239825295725
285.0,111.43847705878989,-8.225994570959301,81.8460993876497,154.34310017888856,198.79007295898418,74.80921215926128,-14.439406075209718,108.61644516679189,189.51595211072618,246.03345588558977
290.0,114.40708594504213,-7.709981119121949,87.0789344968639,161.3319902380099,208.89509793226034,80.80592372710771,-15.123598571144157,107.76505069611858,188.9505167099619,246.3892838183183
295.0,115.49946448089668,-10.886315408377868,83.08760839879005,156.60023475052822,204.90094353335735,91.41716306197031,-11.51631044893702,112.39520190137046,192.78184839928463,249.19841326221785
300.0,114.65954782795507,-16.19863466507013,74.53283221729589,146.90767338670776,195.47503940368733,99.81947689406798,-11.06669850084063,112.85352735970855,194.09110874802127,249.83019787963576
305.0,124.78496881507363,-17.4150105649569,73.40910098136874,145.73849407644457,196.37944505470568,115.67227647929485,-4.329769436120387,121.22625984464457,201.5022203007802,256.8132840036137
310.0,136.9708104584197,-15.620257396572015,74.28385569546799,145.9238472101747,196.95348865933056,136.32475990409284,5.978780751636805,133.46712812212718,213.50972549905737,267.55660842414227
315.0,148.387064459062,-15.360583135023717,84.39502357547781,159.7688014061473,215.07300013840631,143.12566442304296,13.207757204741938,140.6988031367605,221.14715238880126,274.8089021429114
320.0,158.14283497966608,-13.117281043742878,91.69375125063743,172.21936314550567,232.1714598514768,145.2925151953973,18.31217623837074,143.8035255491809,225.24451250939455,278.6631044670953
325.0,174.85921921646377,1.954214393613256,100.90051203047415,176.13018437654318,230.59852650012044,128.50763942132517,15.917185517397229,137.0508178464529,218.74343027024224,272.1999987977201
330.0,190.66454694400818,13.769390833033412,109.97762633283264,180.99695168133485,230.75182206531326,109.1559276374378,9.319278937499803,126.33712597002386,208.4264209185535,262.39565328191793
335.0,197.6374261597789,17.768234076915178,121.7562642080029,198.57669945441876,250.2667075768859,109.11334584016004,18.15185457609141,133.36777975504629,216.6070626874489,272.7059071229205
340.0,204.14260157994067,23.940655341598813,133.54071331366958,215.25149197913197,270.45243393682176,107.9348134533825,25.15448501357605,138.73850044878736,219.91745703474226,278.91738805837076
345.0,202.45595015273466,25.508459125289846,132.08984763937997,210.57563274644372,263.8771545046493,109.58928873965579,28.50118322817616,141.9426823104468,223.5392608004031,282.19957762969125
350.0,201.29548553198356,31.30942279223609,132.47580870433148,207.89365409575748,259.8041860141793,112.61961217862336,32.82966273016382,147.91360713189215,230.81692024576432,290.84066356461835
355.0,196.50480121340388,36.80887482019352,141.08646776975138,213.54435169479257,264.1151412943732,96.71751098910727,20.506478943363163,134.8930756620025,218.96390069818426,280.6147334682378
360.0,187.03624685529212,52.71267518015429,150.2799524784291,219.66806151973788,267.4460536559927,68.67321486176297,-3.6312163884294932,111.30522717672557,198.3317476944594,261.93459263824116
365.0,170.47634267126477,62.53960547498809,161.1862131899984,229.21252551768748,275.23033797928065,54.97248423994188,-13.931303760475657,103.96471459912709,191.88843842333654,256.62454707440565
370.0,149.4015805132526,74.01955972268979,168.897622288373,234.51817962894438,280.05068018344446,34.37601079565866,-20.798491539754195,95.61170216476057,185.26560908777083,250.47240055638895
375.0,152.17299607284258,73.58074854825372,172.9033942998558,242.93179591714215,291.22064210324106,32.89389723383192,-23.162552980442342,94.79813440896851,188.68557442501378,256.6386699509262
380.0,155.83396751399596,74.62051763106683,179.50765113468742,253.79700548507526,305.72425348425577,32.90770958499752,-24.922890149730847,95.79135008240564,192.77003662198376,264.5106438918483
385.0,152.44398867591053,74.18515398999989,184.62405142692432,262.2320947310436,317.2275472488991,30.441224522482116,-29.12706352588748,93.58417436629543,192.39969174210637,266.9931785732492
390.0,146.71880113519046,72.59197978010525,190.07244542838907,272.6166560083848,331.30222110972295,27.144693376869782,-34.24357426112738,90.8436720919799,191.16423137126912,267.3962269676281
395.0,128.98093493028455,52.62100186301495,183.1764631670717,273.5338659747781,337.2792799931219,24.10092266388665,-37.82301653822606,92.11276610660661,194.02433577980128,270.99729957137833
400.0,101.03767354447973,18.26570779027861,168.128364646519,267.91090566807543,337.9582697968567,24.202995840595122,-40.301292509624545,97.20025456741405,201.68370466384567,280.09273064440185
405.0,83.13937091463231,-3.7995239788419894,158.4609496509288,269.30398692127255,347.4997882321734,27.505866058324955,-40.135684660308925,108.12921015201164,217.98775325952238,299.171148366303
410.0,57.65963595106041,-29.2352458157643,148.79290251325028,273.10071508759984,361.39759231887047,30.549934977359044,-38.09381370978281,125.1513780092273,244.3411755860525,331.9045483291825
