Time,M_base,M_50,M_100,M_150,M_200,Y_base,Y_50,Y_100,Y_150,Y_200
0.0,89.31679060338546,87.08911500205035,89.91214828742223,91.63751290880685,92.86348608211327,89.27305749347525,87.03992807231012,89.84581240699949,91.58419063184324,92.77284393279443
5.0,90.87624996809801,88.1923900712448,91.46368536304468,93.42242052005834,94.9135212656623,90.93932595641282,88.14918751374456,91.46840012399396,93.38025824328994,94.88249691232149
10.0,91.75554720530512,89.08324307768653,92.69125255924997,94.76836412328497,96.38455285913672,91.75425961706776,89.04553196841307,92.66887174946714,94.69435491630782,96.34899326792431
15.0,93.48537972621197,90.71564064429613,94.7563721449292,97.00953516575615,98.62671316649696,93.48984847136542,90.68950269182368,94.75135869691205,96.96981633416554,98.58942939258459
20.0,95.43677785634736,92.80846700154119,97.25641568872425,99.86412550933125,101.61252946333319,95.4551699220234,92.79204542779824,97.27512841304952,99.86455043492562,101.6239242399286
25.0,96.60774252948742,94.34044025741873,99.58449991501978,102.96768499405317,105.10687054985546,96.5707808349338,94.28619928441442,99.54420128446503,102.95464023553275,105.04043554774414
30.0,96.21775808105683,93.98547976831938,99.34524544433363,103.16088702112553,105.88827546602194,96.25049548662408,93.90664481349995,99.35460940077654,103.06122476669222,105.7601800042365
35.0,96.14237349607217,93.23176357350019,98.18818556550333,101.56480016368326,104.04729306206669,96.1237003737543,93.20217181012593,98.14868066748522,101.57268001712335,103.98185530749574
40.0,96.64432027051048,93.66424362948756,98.27515035422662,101.65036663540579,104.14113403542385,96.62483685835163,93.52722697574949,98.23918432530115,101.59462400648788,104.09438609470926
45.0,97.88605175854316,95.27383589946322,99.80574624078247,102.86446363026103,105.14449611234441,97.93852673974628,95.17326722722476,99.71994411170873,102.78112613575895,105.030352606817
50.0,100.46965112370329,97.8420739823226,102.6068843909813,105.61067278040815,107.95918724130752,100.48623725365357,97.62625925822593,102.40556160481584,105.41073986883018,107.72482501763754
